epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7447,1.37428,3.51866,1.1884,0.0063,1,0.05506,0.01594,1.01571,3.38089,1.13143,2e-05,2e-05,2e-05
2,33.4204,1.19329,3.33889,1.1845,0.0063,1,0.21707,0.07719,0.98342,3.34799,1.0885,5.8812e-05,5.8812e-05,5.8812e-05
3,46.0888,1.19881,3.08048,1.07926,0.0063,1,0.57793,0.29975,1.21067,3.23625,1.07572,9.604e-05,9.604e-05,9.604e-05
4,60.1428,1.26504,2.7797,1.02453,0.0063,1,0.62296,0.3459,1.39255,3.13829,1.04362,0.000131684,0.000131684,0.000131684
5,76.3414,1.26868,2.21071,1.02782,0.0063,1,0.59651,0.34211,1.38935,3.04003,1.02526,0.000165744,0.000165744,0.000165744
6,90.0351,1.25516,2.10733,1.03626,0.0063,1,0.67465,0.36065,1.37639,2.97123,1.02131,0.00019822,0.00019822,0.00019822
7,100.988,1.10218,1.86162,0.98307,0.0063,1,0.69662,0.39233,1.28082,2.90685,0.98718,0.000229112,0.000229112,0.000229112
8,113.854,1.14922,1.87292,1.02415,0.0063,1,0.74011,0.39835,1.15514,2.9069,0.95497,0.00025842,0.00025842,0.00025842
9,126.516,1.23674,1.96746,1.03636,0.0063,1,0.76706,0.45644,1.07547,2.93617,0.94238,0.000286144,0.000286144,0.000286144
10,139.612,1.16777,1.65532,1.04142,0.0063,1,0.75285,0.46161,1.01088,2.91556,0.96487,0.000312284,0.000312284,0.000312284
11,155.625,1.12443,1.56609,1.01665,0.0063,1,0.73834,0.47027,0.95876,2.95918,0.96774,0.00033684,0.00033684,0.00033684
12,172.529,1.07967,1.64785,1.018,0.0063,1,0.73458,0.44799,0.97563,2.99686,0.98147,0.000359812,0.000359812,0.000359812
13,187.711,1.00847,1.61506,0.97323,0.0063,1,0.70156,0.44472,0.99844,3.07019,1.00851,0.0003812,0.0003812,0.0003812
14,201.231,1.06626,1.51777,1.03834,0.0063,1,0.58795,0.35289,0.99565,3.14997,1.05135,0.000401004,0.000401004,0.000401004
15,214.076,1.07293,1.50969,0.98785,0.0063,1,0.52983,0.30461,1.06884,3.21707,1.11086,0.000419224,0.000419224,0.000419224
16,227.891,1.1415,1.60398,1.06518,0.0063,1,0.49049,0.23684,1.12633,3.27839,1.16861,0.00043586,0.00043586,0.00043586
17,243.599,1.17796,1.76169,1.06708,0.00556,0.88235,0.41126,0.16048,1.19782,3.34969,1.25278,0.000450912,0.000450912,0.000450912
18,257.493,1.16118,1.43772,1.04767,0.00481,0.76471,0.19864,0.08794,1.23003,3.46203,1.30602,0.00046438,0.00046438,0.00046438
19,268.378,0.98044,1.27291,0.97493,0.00481,0.76471,0.08044,0.03514,1.25296,3.49967,1.33213,0.000476264,0.000476264,0.000476264
20,281.897,1.09557,1.49153,1.03242,0.00481,0.76471,0.13504,0.04381,1.20291,3.48002,1.30442,0.000486564,0.000486564,0.000486564
21,292.563,1.00928,1.32678,0.98083,0.00481,0.76471,0.10013,0.03899,1.19075,3.50251,1.28,0.00049528,0.00049528,0.00049528
22,302.748,0.98676,1.37622,0.99026,0.00481,0.76471,0.07512,0.01869,1.24052,3.51319,1.31296,0.000502412,0.000502412,0.000502412
23,312.91,1.03006,1.31259,1.0081,0.00519,0.82353,0.14553,0.03226,1.31417,3.50127,1.34361,0.00050796,0.00050796,0.00050796
24,324.37,1.03426,1.38172,1.01762,0.00519,0.82353,0.15065,0.05843,1.43625,3.51612,1.39627,0.000511924,0.000511924,0.000511924
25,335.818,1.04251,1.28452,0.99656,0.00519,0.82353,0.19407,0.07494,1.487,3.49506,1.43928,0.000514304,0.000514304,0.000514304
26,346.771,1.08667,1.26272,1.03173,0.00519,0.82353,0.1894,0.08965,1.41447,3.40718,1.39642,0.0005151,0.0005151,0.0005151
27,357.031,1.00036,1.14962,0.9808,0.00593,0.94118,0.25006,0.16424,1.32901,3.30344,1.33958,0.000514312,0.000514312,0.000514312
28,367.208,0.92832,1.22043,0.96636,0.00593,0.94118,0.25006,0.16424,1.32901,3.30344,1.33958,0.00051194,0.00051194,0.00051194
29,377.524,0.89617,1.06646,0.91926,0.00757,0.88235,0.30751,0.17734,1.28497,3.1771,1.3059,0.000507984,0.000507984,0.000507984
30,387.75,0.92504,1.2128,0.93318,0.85489,0.34737,0.48701,0.29761,1.30481,3.08924,1.32883,0.000502444,0.000502444,0.000502444
31,397.73,0.99715,1.17595,0.97478,0.85489,0.34737,0.48701,0.29761,1.30481,3.08924,1.32883,0.00049532,0.00049532,0.00049532
32,408.189,0.91074,1.09791,0.97193,0.74041,0.11765,0.54905,0.31156,1.29582,2.93464,1.34718,0.000486612,0.000486612,0.000486612
33,420.775,1.04931,1.16126,0.98797,0.92876,0.29412,0.61374,0.3475,1.25093,2.82084,1.32609,0.00047632,0.00047632,0.00047632
34,435.816,0.87007,1.13714,0.97585,0.92876,0.29412,0.61374,0.3475,1.25093,2.82084,1.32609,0.000464444,0.000464444,0.000464444
35,448.899,0.82189,1.11836,0.92349,0.91429,0.35294,0.60493,0.36486,1.26235,2.77196,1.34885,0.000450984,0.000450984,0.000450984
36,465.244,0.82756,1.04055,0.9042,0.92012,0.35294,0.61208,0.36446,1.31956,2.76383,1.37342,0.00043594,0.00043594,0.00043594
37,481.617,0.85394,1.05882,0.93682,0.92012,0.35294,0.61208,0.36446,1.31956,2.76383,1.37342,0.000419312,0.000419312,0.000419312
38,495.924,0.86983,0.99098,0.92519,0.8416,0.41176,0.64332,0.37706,1.34903,2.76153,1.36938,0.0004011,0.0004011,0.0004011
39,507.079,0.79511,0.98874,0.96082,0.64154,0.42181,0.65964,0.36092,1.40475,2.65807,1.4023,0.000381304,0.000381304,0.000381304
40,517.412,0.85788,0.91921,0.96252,0.64154,0.42181,0.65964,0.36092,1.40475,2.65807,1.4023,0.000359924,0.000359924,0.000359924
41,527.697,0.79966,1.19548,0.95936,0.66417,0.46575,0.66687,0.34659,1.45196,2.61436,1.40605,0.00033696,0.00033696,0.00033696
42,537.851,0.77254,1.26871,0.91422,0.72206,0.45935,0.67279,0.36673,1.43452,2.65736,1.3892,0.000312412,0.000312412,0.000312412
43,550.586,0.74805,1.07669,0.90618,0.72206,0.45935,0.67279,0.36673,1.43452,2.65736,1.3892,0.00028628,0.00028628,0.00028628
44,565.826,0.79754,1.13506,0.88051,0.80363,0.47059,0.70648,0.37766,1.39487,2.62968,1.33841,0.000258564,0.000258564,0.000258564
45,578.539,0.69593,1.12536,0.8739,0.80363,0.47059,0.70648,0.37766,1.39487,2.62968,1.33841,0.000229264,0.000229264,0.000229264
46,593.882,0.68993,1.09536,0.90308,0.70821,0.41176,0.68467,0.38207,1.35121,2.60243,1.31391,0.00019838,0.00019838,0.00019838
47,607.323,0.63458,1.06148,0.89253,0.70821,0.41176,0.68467,0.38207,1.35121,2.60243,1.31391,0.000165912,0.000165912,0.000165912
48,618.903,0.79614,1.13463,0.93611,0.61017,0.47059,0.7007,0.40358,1.32203,2.50647,1.30391,0.00013186,0.00013186,0.00013186
49,631.449,0.63016,1.0258,0.85769,0.61017,0.47059,0.7007,0.40358,1.32203,2.50647,1.30391,9.6224e-05,9.6224e-05,9.6224e-05
50,643.066,0.75674,1.19968,0.90299,0.66016,0.57215,0.73818,0.42035,1.31118,2.3824,1.27789,5.9004e-05,5.9004e-05,5.9004e-05
