epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2148,1.36892,4.10571,1.19719,0.00946,0.53846,0.09035,0.06009,0.90124,4.17996,1.02706,2.5e-05,2.5e-05,2.5e-05
2,26.1809,1.31674,3.98902,1.16297,0.01449,0.84615,0.38167,0.2538,1.09496,4.09352,0.98519,6.12625e-05,6.12625e-05,6.12625e-05
3,38.3514,1.13035,3.61873,0.9868,0.01801,1,0.72847,0.41169,1.42278,4.1297,1.05441,9.604e-05,9.604e-05,9.604e-05
4,49.5757,1.41228,3.07808,1.1032,0.02257,1,0.6959,0.35498,1.57174,4.03654,1.06516,0.000129332,0.000129332,0.000129332
5,61.0795,1.26608,2.21239,1.04827,0.02838,1,0.69667,0.32035,1.61742,3.7917,1.05498,0.00016114,0.00016114,0.00016114
6,72.3949,1.25459,2.04883,1.02156,0.03186,1,0.67931,0.32656,1.62236,3.58633,1.02695,0.000191463,0.000191463,0.000191463
7,83.7926,1.19842,1.91715,1.02451,0.03412,1,0.70786,0.40305,1.45105,3.61922,0.99457,0.0002203,0.0002203,0.0002203
8,95.0876,1.09778,1.83576,0.98029,0.03377,1,0.70876,0.40902,1.47628,3.65654,0.99502,0.000247653,0.000247653,0.000247653
9,106.422,1.1371,1.76355,0.99965,0.03601,1,0.67884,0.41474,1.37838,3.66328,0.98836,0.00027352,0.00027352,0.00027352
10,117.844,1.08502,1.64824,1.01159,0.03601,1,0.66915,0.3828,1.22364,3.69331,0.97358,0.000297903,0.000297903,0.000297903
11,128.966,1.07126,1.67886,1.05437,0.02558,0.76923,0.6374,0.29352,1.23421,3.9132,1.10268,0.0003208,0.0003208,0.0003208
12,147.271,1.0942,1.54569,1.02127,0.02261,0.69231,0.63374,0.24128,1.2455,4.02074,1.15312,0.000342213,0.000342213,0.000342213
13,171.083,1.00315,1.38956,0.98713,0.00914,0.38462,0.36281,0.11708,1.37343,4.33248,1.3374,0.00036214,0.00036214,0.00036214
14,195.929,0.9732,1.31921,0.95964,0.00796,0.38462,0.28578,0.10599,1.36677,4.31921,1.34635,0.000380582,0.000380582,0.000380582
