epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8765,2.80274,3.57393,2.97926,0.01821,0.65,0.02035,0.00603,3.83606,4.98744,3.81136,2.5e-05,2.5e-05,2.5e-05
2,32.4437,2.80487,3.50142,2.82654,0.01354,0.6,0.0682,0.02485,3.84265,4.9268,3.72156,6.12625e-05,6.12625e-05,6.12625e-05
3,53.0594,2.72052,3.49415,2.84255,0.01265,0.65,0.02638,0.00773,3.46604,4.71978,3.52015,9.604e-05,9.604e-05,9.604e-05
4,65.9459,2.42014,3.41429,2.54647,0.01114,0.55,0.05159,0.0122,3.33001,4.65459,3.48077,0.000129332,0.000129332,0.000129332
5,79.5974,2.43184,3.25683,2.66638,0.01286,0.6,0.04477,0.01973,3.16755,4.40835,3.36304,0.00016114,0.00016114,0.00016114
6,95.8235,2.21841,3.10683,2.40159,0.01309,0.6,0.02992,0.01722,3.15026,4.31533,3.34715,0.000191463,0.000191463,0.000191463
7,111.291,2.41175,3.38806,2.4937,0.01693,0.75,0.06375,0.02762,3.12778,4.14719,3.38935,0.0002203,0.0002203,0.0002203
8,123.096,2.11078,2.97677,2.2403,0.01562,0.7,0.05387,0.02145,3.11994,4.05439,3.3974,0.000247653,0.000247653,0.000247653
9,134.364,2.21077,2.97147,2.36588,0.01699,0.75,0.05963,0.02133,2.95949,3.98047,3.31997,0.00027352,0.00027352,0.00027352
10,147.729,2.08791,2.81982,2.24179,0.01837,0.8,0.09388,0.03597,2.94494,3.95012,3.28631,0.000297903,0.000297903,0.000297903
11,161.802,1.93931,2.5507,2.22161,0.02535,0.9,0.15788,0.06031,2.87949,3.93262,3.02525,0.0003208,0.0003208,0.0003208
12,174.559,2.04329,2.60062,2.19059,0.02829,0.85,0.18262,0.06782,2.82396,3.71554,2.83263,0.000342213,0.000342213,0.000342213
13,188.116,2.01196,2.48787,2.16857,0.03687,0.8,0.24382,0.1182,2.69852,3.74895,2.69191,0.00036214,0.00036214,0.00036214
14,200.034,1.94514,2.81915,2.13353,0.04509,0.85,0.21052,0.12179,2.71313,3.78311,2.67651,0.000380582,0.000380582,0.000380582
15,212.038,1.96871,2.90848,2.11657,0.51984,0.2,0.29661,0.19798,2.55467,3.60397,2.83434,0.00039754,0.00039754,0.00039754
16,224.828,1.92454,2.4726,2.1148,0.51365,0.2,0.29595,0.16889,2.64613,3.44661,3.10292,0.000413012,0.000413012,0.000413012
17,238.885,2.02284,2.38272,2.23139,0.25473,0.15,0.25879,0.14279,2.89818,3.36283,3.3719,0.000427,0.000427,0.000427
18,255.463,1.93836,2.55502,2.18407,0.62735,0.15,0.2392,0.14743,2.89776,3.4691,3.28853,0.000439502,0.000439502,0.000439502
19,270.37,1.7708,2.3878,2.11328,0.32592,0.2,0.2784,0.16801,2.95875,3.47321,3.2406,0.00045052,0.00045052,0.00045052
20,285.779,1.8331,2.23409,2.05373,0.4216,0.3,0.33677,0.18778,2.93329,3.60452,3.1773,0.000460053,0.000460053,0.000460053
21,303.634,1.87943,2.47877,2.13612,0.37761,0.25,0.27671,0.15656,2.9122,3.50655,3.25428,0.0004681,0.0004681,0.0004681
22,319.16,1.64827,2.24723,2.00062,0.47822,0.2,0.26041,0.15709,2.99225,3.63376,3.18725,0.000474663,0.000474663,0.000474663
23,333.699,1.60014,2.10003,1.94466,0.59371,0.25,0.27784,0.16605,2.9466,3.49365,3.16344,0.00047974,0.00047974,0.00047974
24,347.841,1.81451,2.59826,2.08774,0.58882,0.25,0.28446,0.14335,3.03035,3.54226,3.12538,0.000483333,0.000483333,0.000483333
25,362.692,1.51084,2.04779,1.92949,0.7271,0.25,0.28494,0.13626,2.96837,3.62403,3.04329,0.00048544,0.00048544,0.00048544
26,377.655,1.5509,1.94548,1.89782,0.58117,0.25,0.2763,0.14891,2.92552,3.40233,3.13883,0.000486063,0.000486063,0.000486063
27,391.502,1.72655,1.96696,2.01034,0.55519,0.25,0.27789,0.14888,2.91243,3.49519,3.20229,0.0004852,0.0004852,0.0004852
28,405.645,1.62576,2.05059,1.97625,0.36733,0.2,0.21582,0.10932,2.98391,3.52464,3.34159,0.000482852,0.000482852,0.000482852
29,419.808,1.62436,1.92699,1.91976,0.36733,0.2,0.21582,0.10932,2.98391,3.52464,3.34159,0.00047902,0.00047902,0.00047902
30,436.859,1.62167,1.97304,1.96398,0.32196,0.19062,0.18198,0.0916,2.91014,3.46075,3.37017,0.000473703,0.000473703,0.000473703
31,454.894,1.55284,2.01636,1.90235,0.31942,0.2,0.16959,0.08246,2.88721,3.54456,3.37578,0.0004669,0.0004669,0.0004669
32,470.795,1.46212,1.86178,1.87311,0.32086,0.25,0.18984,0.09686,2.98701,3.52553,3.34974,0.000458613,0.000458613,0.000458613
33,486.657,1.79096,2.15389,2.10735,0.32086,0.25,0.18984,0.09686,2.98701,3.52553,3.34974,0.00044884,0.00044884,0.00044884
34,506.677,1.65584,2.00666,1.95813,0.32864,0.29402,0.21494,0.11655,2.93764,3.36609,3.29954,0.00043325,0.00043325,0.00043325
35,525.463,1.52245,1.91122,1.83514,0.3944,0.35,0.22223,0.1283,2.87412,3.23741,3.27936,0.0004085,0.0004085,0.0004085
36,538.994,1.69306,1.90509,1.90903,0.40371,0.30495,0.25542,0.16533,2.83957,3.23322,3.34063,0.00038375,0.00038375,0.00038375
37,551.083,1.58516,1.8938,1.91192,0.40371,0.30495,0.25542,0.16533,2.83957,3.23322,3.34063,0.000359,0.000359,0.000359
38,563.381,1.76149,2.20399,2.04152,0.49269,0.3,0.31621,0.19178,2.87499,3.14678,3.39129,0.00033425,0.00033425,0.00033425
39,579.439,1.52388,1.86491,1.86269,0.59865,0.3,0.32006,0.19567,2.87812,3.04242,3.41492,0.0003095,0.0003095,0.0003095
40,591.907,1.52385,1.90951,1.89932,0.51776,0.25,0.35871,0.21741,2.84607,3.17406,3.37964,0.00028475,0.00028475,0.00028475
41,603.454,1.29286,2.22607,1.88563,0.51776,0.25,0.35871,0.21741,2.84607,3.17406,3.37964,0.00026,0.00026,0.00026
42,615.004,1.10735,1.90088,1.60327,0.35335,0.35,0.34789,0.20844,2.70497,3.13048,3.23598,0.00023525,0.00023525,0.00023525
43,626.621,1.26105,1.84621,1.70876,0.54357,0.25,0.33663,0.18538,2.69575,3.05189,3.18749,0.0002105,0.0002105,0.0002105
44,638.127,1.25757,1.88763,1.69497,0.53681,0.25,0.33221,0.17097,2.70143,3.14808,3.18781,0.00018575,0.00018575,0.00018575
45,649.448,1.30259,1.89142,1.81298,0.53681,0.25,0.33221,0.17097,2.70143,3.14808,3.18781,0.000161,0.000161,0.000161
46,662.431,1.05239,1.89037,1.65395,0.93832,0.2,0.33239,0.17087,2.76113,3.21035,3.32142,0.00013625,0.00013625,0.00013625
47,677.965,1.07028,1.82365,1.67374,0.79566,0.2,0.32289,0.17467,2.80174,3.09138,3.46298,0.0001115,0.0001115,0.0001115
48,692.567,1.17902,1.75955,1.59542,0.76679,0.2,0.29583,0.16273,2.78911,3.06759,3.57624,8.675e-05,8.675e-05,8.675e-05
49,704.813,1.11745,1.82989,1.66564,0.76679,0.2,0.29583,0.16273,2.78911,3.06759,3.57624,6.2e-05,6.2e-05,6.2e-05
50,717.435,1.12596,1.84928,1.60981,0.76364,0.2,0.29169,0.16776,2.74832,3.10586,3.54929,3.725e-05,3.725e-05,3.725e-05
