epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2112,1.54283,3.88278,1.42622,0.05439,0.18318,0.06535,0.03752,1.6605,5.01107,1.67593,2.5e-05,2.5e-05,2.5e-05
2,72.2393,1.46192,3.08092,1.50188,0.75716,0.26471,0.23211,0.13451,1.41257,4.59777,1.59941,6.18813e-05,6.18813e-05,6.18813e-05
3,114.108,1.32362,2.32147,1.26036,0.78894,0.38235,0.29327,0.17583,1.12017,4.06673,1.2857,9.802e-05,9.802e-05,9.802e-05
4,156.134,1.11633,1.90882,1.17104,0.86151,0.3076,0.33658,0.22318,1.03416,3.49177,1.19897,0.000133416,0.000133416,0.000133416
5,199.004,1.06646,1.56661,1.17599,0.90515,0.29412,0.34522,0.2222,1.05733,2.23955,1.12598,0.00016807,0.00016807,0.00016807
6,237.365,1.07135,1.27499,1.05607,0.86402,0.31536,0.36422,0.23153,1.09178,2.20591,1.12969,0.000201981,0.000201981,0.000201981
7,268.635,1.07908,1.33036,1.07404,0.91941,0.30668,0.38327,0.25747,1.09932,2.00772,1.14083,0.00023515,0.00023515,0.00023515
8,298.272,1.00872,1.29287,1.04204,0.83151,0.38235,0.38817,0.2455,1.1076,2.09319,1.1551,0.000267576,0.000267576,0.000267576
9,327.76,1.01556,1.21804,1.02981,0.82695,0.35294,0.34198,0.24098,1.13433,2.03216,1.18092,0.00029926,0.00029926,0.00029926
10,359.081,0.98904,1.03822,0.98421,0.81255,0.35294,0.32197,0.22013,1.23555,2.0826,1.1864,0.000330201,0.000330201,0.000330201
11,388.765,1.05634,1.05951,1.04506,0.7754,0.32353,0.26787,0.17947,1.26903,2.25575,1.223,0.0003604,0.0003604,0.0003604
12,417.893,1.01448,1.11955,1.05831,0.80865,0.37964,0.32915,0.23347,1.25403,1.90511,1.19841,0.000389856,0.000389856,0.000389856
13,448.082,1.03387,0.90892,1.01531,0.82623,0.35294,0.34965,0.24064,1.24726,2.63392,1.15578,0.00041857,0.00041857,0.00041857
