epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4055,1.39779,3.29875,1.35806,0.25212,0.1875,0.11591,0.05624,1.2035,3.78062,1.31615,1.429e-05,1.429e-05,1.429e-05
2,58.1119,1.16955,3.29503,1.24664,0.56639,0.81653,0.57537,0.32289,1.16855,2.36613,1.26221,4.20212e-05,4.20212e-05,4.20212e-05
3,89.0519,1.2517,1.91091,1.22793,0.65126,0.9375,0.78749,0.54409,1.09129,3.33528,1.17651,6.86206e-05,6.86206e-05,6.86206e-05
4,120.598,1.12971,2.17537,1.09564,0.64028,0.9375,0.75454,0.5193,1.0826,3.42872,1.17324,9.40882e-05,9.40882e-05,9.40882e-05
5,150.591,1.16193,1.6124,1.07982,0.66412,1,0.71038,0.49464,1.1219,2.71512,1.19285,0.000118424,0.000118424,0.000118424
6,180.147,1.19354,1.60833,1.11583,0.60308,0.9375,0.68217,0.42042,1.16668,2.47361,1.21665,0.000141628,0.000141628,0.000141628
7,211.713,1.06199,1.47698,1.07794,0.6357,0.98207,0.82503,0.552,1.17839,1.90262,1.19058,0.000163701,0.000163701,0.000163701
8,241.97,1.04178,1.46007,1.06963,0.58874,1,0.81552,0.53119,1.18481,1.72196,1.18895,0.000184641,0.000184641,0.000184641
9,270.926,0.98868,1.24637,1.00989,0.63587,0.8732,0.82729,0.5577,1.14943,1.60946,1.18264,0.00020445,0.00020445,0.00020445
10,300.017,0.92275,1.10229,1.02822,0.69351,0.84933,0.84429,0.55889,1.08129,1.51889,1.16318,0.000223127,0.000223127,0.000223127
11,332.165,0.9902,1.10187,1.03202,0.67273,0.8125,0.85532,0.56565,1.07086,1.45256,1.1419,0.000240672,0.000240672,0.000240672
12,360.802,0.89299,1.03556,0.98434,0.6611,0.97601,0.85421,0.5475,1.17396,1.34825,1.1576,0.000257086,0.000257086,0.000257086
