epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1722,1.11415,2.84581,1.21899,0.4645,0.56422,0.5337,0.35694,0.66273,2.39045,1.01832,2.858e-05,2.858e-05,2.858e-05
2,52.9798,0.92767,2.29395,1.07235,0.89449,0.84792,0.95476,0.78496,0.59324,1.7411,0.91969,7.00353e-05,7.00353e-05,7.00353e-05
3,77.442,1.35964,3.37608,1.23484,0.84662,1,0.96019,0.72335,0.78177,1.93363,0.96392,0.000109793,0.000109793,0.000109793
4,102.105,0.98123,2.02178,1.10179,0.90643,0.96921,0.97295,0.7,0.84132,1.83081,1.053,0.000147853,0.000147853,0.000147853
5,125.946,0.82817,1.29716,1.0309,0.94517,0.95,0.96045,0.70956,0.91221,1.10776,1.04286,0.000184215,0.000184215,0.000184215
6,149.887,0.7352,1.22801,0.9509,0.94679,0.95,0.95028,0.71464,0.88398,0.99987,1.00449,0.00021888,0.00021888,0.00021888
7,174.077,0.78079,1.1123,0.93579,0.94989,0.94798,0.92614,0.68927,0.92417,1.04065,0.99135,0.000251847,0.000251847,0.000251847
8,197.739,1.00884,1.49212,1.05442,0.93594,0.95,0.92332,0.71365,0.8826,1.06062,0.97121,0.000283116,0.000283116,0.000283116
9,222.41,0.74643,1.08603,0.99169,0.89453,0.9,0.92239,0.68542,0.91128,0.94357,0.95115,0.000312688,0.000312688,0.000312688
10,249.983,0.78921,0.92555,0.92358,0.89373,0.9,0.93488,0.70987,0.88354,0.97248,0.92656,0.000340562,0.000340562,0.000340562
11,276.691,0.73998,0.90212,0.91044,0.8881,0.85,0.85948,0.70703,0.77557,0.96827,0.91137,0.000366739,0.000366739,0.000366739
12,302.278,1.03456,1.22306,1.0125,0.84551,0.82156,0.84606,0.65309,0.90508,1.05336,1.01756,0.000391217,0.000391217,0.000391217
13,327.875,0.76676,0.8527,0.93494,0.88855,0.79742,0.85764,0.62431,0.96425,0.96721,1.10119,0.000413998,0.000413998,0.000413998
14,353.778,1.53634,4.13063,1.3633,0.8799,0.8,0.85946,0.62196,0.98343,1.08607,1.11153,0.000435082,0.000435082,0.000435082
15,381.092,0.80526,0.88414,1.07721,0.9211,0.65,0.78938,0.56151,1.02154,1.34472,1.10598,0.000454468,0.000454468,0.000454468
16,407.192,0.86455,0.97079,0.99765,0.85421,0.58664,0.69519,0.48976,0.99994,1.68713,1.1433,0.000472156,0.000472156,0.000472156
17,433.277,0.75104,0.78555,0.95371,0.662,0.45,0.57595,0.4108,1.01516,2.061,1.15615,0.000488146,0.000488146,0.000488146
18,459.513,0.78677,0.74824,0.89989,0.75585,0.45,0.63338,0.45788,0.98196,2.02561,1.15054,0.000502439,0.000502439,0.000502439
19,486.264,0.85903,0.8029,0.97698,0.93618,0.5,0.69469,0.51914,0.93589,1.70888,1.06148,0.000515034,0.000515034,0.000515034
20,512.219,0.73574,0.75154,0.95122,1,0.49903,0.70369,0.54518,1.04614,1.64319,1.12393,0.000525932,0.000525932,0.000525932
21,538.251,0.59272,0.91242,0.95955,1,0.49816,0.7042,0.5323,1.01021,1.79144,1.11498,0.000535132,0.000535132,0.000535132
22,565.319,0.76388,0.6968,0.89554,0.93751,0.5,0.66629,0.52338,0.94439,1.96433,1.08732,0.000542634,0.000542634,0.000542634
23,592.33,0.83265,0.7446,1.00233,0.95882,0.5,0.72685,0.56048,0.98579,1.56935,1.07984,0.000548439,0.000548439,0.000548439
24,619.137,0.74427,0.61019,0.99445,0.76682,0.65,0.79849,0.58193,0.99851,1.2724,1.12609,0.000552546,0.000552546,0.000552546
25,645.729,0.62309,0.58759,0.9081,0.85906,0.65,0.80023,0.61308,1.00472,1.30523,1.14324,0.000554955,0.000554955,0.000554955
26,673.053,0.61252,0.61099,0.87527,0.77222,0.67876,0.77245,0.5968,0.93883,1.28042,1.11025,0.000555667,0.000555667,0.000555667
27,700.073,0.615,0.55615,0.91028,0.84557,0.75,0.79719,0.61603,0.82467,1.0428,1.03621,0.000554681,0.000554681,0.000554681
28,727.323,0.69343,0.5748,0.94552,0.86376,0.7,0.77611,0.56984,0.93259,1.21012,1.08065,0.000551997,0.000551997,0.000551997
