epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.905,2.81163,4.4715,2.85261,0.00882,0.15,0.00531,0.00117,3.75517,6.28137,3.37717,2.5e-05,2.5e-05,2.5e-05
2,39.8643,2.90586,3.87345,2.79434,0.09014,0.05,0.05155,0.01945,3.49558,5.47973,3.09556,5.8375e-05,5.8375e-05,5.8375e-05
3,58.5262,2.88002,3.09526,2.81587,0.18295,0.2,0.14029,0.04861,3.49403,6.62964,3.26354,8.68e-05,8.68e-05,8.68e-05
4,77.4018,2.64382,2.77198,2.51847,0.07376,0.2,0.05782,0.02424,3.25879,6.84803,3.31541,0.000110275,0.000110275,0.000110275
5,95.8367,2.50918,2.56944,2.46001,0.05992,0.25,0.06779,0.0251,3.18194,5.32297,3.35226,0.0001288,0.0001288,0.0001288
6,114.379,2.07564,2.57387,2.26811,0.06781,0.35,0.06323,0.01956,3.16525,4.65843,3.20875,0.000142375,0.000142375,0.000142375
7,132.981,1.8797,2.51004,2.17548,0.16328,0.1,0.04554,0.01358,3.13768,5.68489,3.09151,0.000151,0.000151,0.000151
8,151.255,2.08292,2.42602,2.10596,0.21382,0.15,0.06892,0.02454,3.03616,4.65361,2.96588,0.000154675,0.000154675,0.000154675
9,169.523,1.62829,2.22445,1.9706,0.31884,0.2,0.14285,0.07508,2.96332,3.47407,2.85041,0.0001534,0.0001534,0.0001534
10,187.947,1.69308,2.00444,1.90534,0.49258,0.3,0.2103,0.10462,2.99785,3.04662,2.93301,0.000147175,0.000147175,0.000147175
11,206.236,1.55998,1.84354,1.77258,0.3316,0.35,0.25511,0.12789,3.10824,4.08196,3.14831,0.000136,0.000136,0.000136
12,224.631,1.76965,1.87685,1.92483,0.26637,0.35,0.23168,0.12343,3.13134,4.88267,3.17808,0.000119875,0.000119875,0.000119875
13,245.251,1.49215,1.7107,1.76733,0.2528,0.35,0.19732,0.09925,3.25206,3.94955,3.33424,9.88e-05,9.88e-05,9.88e-05
14,267.671,1.67027,1.68126,1.87233,0.30119,0.4,0.19902,0.09171,3.29872,3.46019,3.40107,7.2775e-05,7.2775e-05,7.2775e-05
15,288.942,1.51098,1.73583,1.74988,0.33682,0.4,0.22933,0.09484,3.26848,3.09462,3.44533,4.18e-05,4.18e-05,4.18e-05
