epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1218,1.13232,2.68725,1.18543,0.34836,0.45455,0.40963,0.29875,1.23711,4.43321,1.37199,2.5e-05,2.5e-05,2.5e-05
2,39.5558,1.06385,1.84107,1.11159,0.46469,0.90909,0.60461,0.42585,0.90064,5.05183,1.1354,5.8375e-05,5.8375e-05,5.8375e-05
3,59.5545,1.08738,1.51009,1.09805,0.73205,0.72727,0.87164,0.71701,0.51523,3.34803,0.83274,8.68e-05,8.68e-05,8.68e-05
4,78.677,0.87514,1.39285,1.0472,0.86218,0.90909,0.94396,0.84288,0.52283,2.51858,0.80583,0.000110275,0.000110275,0.000110275
5,97.3607,0.83294,1.00973,1.00925,0.97354,0.72727,0.90594,0.79594,0.53831,1.57004,0.79405,0.0001288,0.0001288,0.0001288
6,116.095,0.74482,1.11155,0.94905,0.70987,0.90909,0.91534,0.8312,0.46486,1.27491,0.69349,0.000142375,0.000142375,0.000142375
7,134.625,0.69672,1.07313,0.88632,0.7227,1,0.91387,0.81211,0.53902,1.30549,0.69295,0.000151,0.000151,0.000151
8,153.217,0.74736,1.11328,0.88867,0.7967,0.90909,0.91475,0.81495,0.51221,1.25419,0.67905,0.000154675,0.000154675,0.000154675
9,171.784,0.86252,1.18981,1.04466,0.82232,0.90909,0.90688,0.8139,0.48722,1.13511,0.70236,0.0001534,0.0001534,0.0001534
10,190.437,0.82106,1.20522,0.94887,0.833,0.90712,0.91475,0.82193,0.50157,1.08482,0.72648,0.000147175,0.000147175,0.000147175
11,210.221,0.5937,0.74575,0.84237,0.78205,0.97981,0.94006,0.83236,0.51882,1.03428,0.7389,0.000136,0.000136,0.000136
12,228.318,0.69381,0.85744,0.87747,0.7234,1,0.93387,0.83165,0.52921,0.95863,0.74341,0.000119875,0.000119875,0.000119875
13,247.731,0.63928,0.78711,0.88436,0.78548,1,0.95643,0.82507,0.52467,0.84122,0.75014,9.88e-05,9.88e-05,9.88e-05
14,266.029,0.6123,1.305,0.94138,0.78299,1,0.95643,0.81977,0.54126,0.83438,0.75059,7.2775e-05,7.2775e-05,7.2775e-05
15,284.564,0.66646,0.72235,0.86171,0.7814,1,0.95643,0.83271,0.56488,0.82511,0.75409,4.18e-05,4.18e-05,4.18e-05
